Gender,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και ανω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other,Mode
0,0,0,1,36,1,2,2,2,2,3,1,29.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,5,26,4,3,4,4,4,3,5,21.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,4,38,5,4,3,1,1,3,3,6.9,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,4,18,2,5,3,2,2,4,4,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,3,36,3,3,4,3,1,1,5,10.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,3,35,4,5,3,2,1,4,2,6.6,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,4,6,5,3,3,3,3,5,3,0.35,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,5,18,4,3,3,3,4,4,4,1.4,0,1,0,0,0,0,0,0,1,1,0,0,0,2
0,0,1,4,17,3,3,3,4,4,4,3,1.2,1,0,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,3,27,5,3,4,3,3,3,3,10.3,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0,0,4,37,3,4,3,4,4,5,3,2.6,0,1,0,0,0,0,1,0,0,1,0,0,0,2
1,0,0,3,5,5,5,5,3,3,5,3,7.2,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,4,57,3,5,3,3,3,4,5,7.8,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,4,13,2,4,4,3,3,4,3,0.9,1,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,8,60,1,3,2,2,5,3,1,15.9,1,0,0,0,0,1,0,0,0,0,0,0,1,1
